Date,AAPL,AMZN,GOOGL,MSFT,NFLX,AAPL_Return%,AMZN_Return%,GOOGL_Return%,MSFT_Return%,NFLX_Return%
2024-04-23,165.39476013183594,179.5399932861328,156.96267700195312,401.408935546875,57.775001525878906,,,,,
2024-04-24,167.49563598632812,176.58999633789062,157.8255615234375,402.8763732910156,55.512001037597656,1.2702,-1.6431,0.5497,0.3656,-3.9169
2024-04-25,168.35780334472656,173.6699981689453,154.72122192382812,393.0078430175781,56.47999954223633,0.5147,-1.6535,-1.9669,-2.4495,1.7438
2024-04-26,167.77310180664062,179.6199951171875,170.5404815673828,400.17779541015625,56.12300109863281,-0.3473,3.426,10.2244,1.8244,-0.6321
2024-04-29,171.93524169921875,180.9600067138672,164.78802490234375,396.1693420410156,55.94900131225586,2.4808,0.746,-3.3731,-1.0017,-0.31
2024-04-30,168.7938232421875,175.0,161.44566345214844,383.4446105957031,55.06399917602539,-1.8271,-3.2935,-2.0283,-3.2119,-1.5818
2024-05-01,167.77310180664062,179.0,162.5167999267578,388.9698181152344,55.17100143432617,-0.6047,2.2857,0.6635,1.4409,0.1943
2024-05-02,171.469482421875,184.72000122070312,165.25416564941406,391.82598876953125,56.51499938964844,2.2032,3.1955,1.6844,0.7343,2.4361
2024-05-03,181.7261199951172,186.2100067138672,165.86911010742188,400.51263427734375,57.933998107910156,5.9816,0.8066,0.3721,2.217,2.5108
2024-05-06,180.0712127685547,188.6999969482422,166.7220458984375,407.28863525390625,59.696998596191406,-0.9107,1.3372,0.5142,1.6918,3.0431
2024-05-07,180.75498962402344,188.75999450683594,169.84620666503906,403.1521301269531,60.599998474121094,0.3797,0.0318,1.8739,-1.0156,1.5126
2024-05-08,181.0919189453125,188.0,167.99156188964844,404.3340148925781,60.946998596191406,0.1864,-0.4026,-1.092,0.2932,0.5726
2024-05-09,182.9053955078125,189.5,168.56680297851562,406.0871276855469,61.20899963378906,1.0014,0.7979,0.3424,0.4336,0.4299
2024-05-10,181.6451416015625,187.47999572753906,167.26754760742188,408.4704895019531,61.08700180053711,-0.689,-1.066,-0.7708,0.5869,-0.1993
2024-05-13,184.85037231445312,186.57000732421875,167.75352478027344,407.4659423828125,61.659000396728516,1.7646,-0.4854,0.2905,-0.2459,0.9364
2024-05-14,185.99154663085938,187.07000732421875,168.9436798095703,410.2630310058594,61.36600112915039,0.6174,0.268,0.7095,0.6865,-0.4752
2024-05-15,188.26397705078125,185.99000549316406,171.09588623046875,417.43597412109375,61.35200119018555,1.2218,-0.5773,1.2739,1.7484,-0.0228
2024-05-16,188.38304138183594,183.6300048828125,172.752197265625,415.3739013671875,61.051998138427734,0.0632,-1.2689,0.9681,-0.494,-0.489
2024-05-17,188.41282653808594,184.6999969482422,174.61680603027344,414.604248046875,62.11000061035156,0.0158,0.5827,1.0794,-0.1853,1.733
2024-05-20,189.57382202148438,183.5399932861328,175.4697265625,419.6658935546875,64.08200073242188,0.6162,-0.628,0.4885,1.2208,3.175
2024-05-21,190.87379455566406,183.14999389648438,176.39212036132812,423.3165283203125,65.06099700927734,0.6857,-0.2125,0.5257,0.8699,1.5277
2024-05-22,189.43490600585938,183.1300048828125,174.93418884277344,424.7767639160156,64.0469970703125,-0.7538,-0.0109,-0.8265,0.345,-1.5585
